10:32:26.935 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 TermConnCreatedEv SEP001B2431F2F6 [#177] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
10:32:26.936 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 TermConnRingingEv SEP001B2431F2F6 [#178] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.936 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 ConnAlertingEv 1003::1 [#175] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.936 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 TermConnCreatedEv SEP001B2431F2F6 [#177] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
10:32:26.936 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 TermConnRingingEv SEP001B2431F2F6 [#178] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.984 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5011/1 TermConnDroppedEv SEP00E04C55F91C [#202] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.984 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5011/1 ConnDisconnectedEv 1004::1 [#204] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.986 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 TermConnDroppedEv SEP00E04C55F91C [#202] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.986 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 ConnDisconnectedEv 1004::1 [#204] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.987 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 TermConnDroppedEv SEP00E04C55F91C [#202] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.987 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 ConnDisconnectedEv 1004::1 [#204] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.993 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 TermConnDroppedEv SEP00E04C55F91C [#202] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.994 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 ConnDisconnectedEv 1004::1 [#204] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.994 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 TermConnDroppedEv SEP001B2431F2F6 [#215] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.994 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 ConnDisconnectedEv 1003::1 [#217] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.994 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 CallInvalidEv [#219] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.995 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 CallObservationEndedEv [#221] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.995 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 CallObservationEndedEv [#213] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.996 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 CallObservationEndedEv [#214] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.997 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5011/1 TermConnDroppedEv SEP001B2431F2F6 [#215] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.997 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5011/1 ConnDisconnectedEv 1003::1 [#217] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.997 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5011/1 CallInvalidEv [#219] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.998 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5011/1 CallObservationEndedEv [#220] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:44:47.021 | 1001                 | OA(Addr) : 1001                 | (P1-dtcjtapi) [1001:] CiscoAddrInServiceEv [#223] Cause:100 CallCtlCause:0 FeatReason:12
10:44:59.883 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 CallActiveEv [#224] Cause:106 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:44:59.883 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 ConnCreatedEv 1001::1 [#225] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:44:59.884 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 ConnConnectedEv 1001::1 [#226] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:44:59.884 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 TermConnCreatedEv SEP080027CA5FBC [#228] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
10:44:59.884 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 TermConnActiveEv SEP080027CA5FBC [#229] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:45:00.548 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 CiscoConnectionUniqueIDChangedEv 1001::1 [#232] Cause:100 CallCtlCause:0 CiscoCause:100 FeatReason:1
10:45:00.559 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 ConnCreatedEv 1003::1 [#234] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:45:00.559 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 ConnInProgressEv 1003::1 [#235] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:45:00.560 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5014/1 CallActiveEv [#237] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.561 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5014/1 ConnCreatedEv 1001::1 [#238] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.561 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5014/1 ConnConnectedEv 1001::1 [#239] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.561 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5014/1 TermConnCreatedEv SEP080027CA5FBC [#241] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.561 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5014/1 TermConnActiveEv SEP080027CA5FBC [#242] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.562 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5014/1 ConnCreatedEv 1003::1 [#244] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.562 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5014/1 ConnInProgressEv 1003::1 [#245] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.575 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 ConnAlertingEv 1003::1 [#247] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:45:00.575 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 TermConnCreatedEv SEP001B2431F2F6 [#249] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
10:45:00.576 | 1001                 | OA(Call) : 1001                 | (P1-dtcjtapi) 5014/1 TermConnRingingEv SEP001B2431F2F6 [#250] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:45:00.576 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5014/1 CallActiveEv [#252] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.576 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5014/1 ConnCreatedEv 1001::1 [#253] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.577 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5014/1 ConnConnectedEv 1001::1 [#254] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.577 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5014/1 TermConnCreatedEv SEP080027CA5FBC [#256] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.577 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5014/1 TermConnActiveEv SEP080027CA5FBC [#257] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.577 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5014/1 ConnCreatedEv 1003::1 [#259] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.577 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5014/1 ConnAlertingEv 1003::1 [#260] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.577 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5014/1 TermConnCreatedEv SEP001B2431F2F6 [#262] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:45:00.577 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5014/1 TermConnRingingEv SEP001B2431F2F6 [#263] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
